UID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Target
296,S,9,54,-17,1,E67,45,15,110413,39,1,hJ2pWF2o,1,559,79.65,1,1
297,S,29,50,15,1,E8,30,54,113806,33,0,8lkTQINp,1,810,53.1,1,1
298,S,51,90,120,1,B22,56,79,WE/P 5735,70,1,wUQZ6qKa,1,746,71,2,0
299,C,41,46,35,1,B35,29,65,PC 17477,24,0,wbEjUT3I,0,370,69.3,1,1
300,S,75,3,80,1,C125,62,-14,PC 17582,58,1,Wm1LOMrP,0,269,153.4625,2,1
301,S,3,14,-1,3,,78,54,350029,21,0,s1ZIEEv4,0,624,7.8542,2,0
302,C,69,13,65,1,C65,40,62,PC 17758,17,0,n8vYCDn7,1,308,108.9,1,1
303,S,103,39,8,3,,32,64,347080,28,1,SKN7sk72,1,424,14.4,2,0
304,C,79,45,80,1,C54,79,92,11767,24,0,4LxbKu01,0,311,83.1583,1,1
305,C,13,38,32,3,,48,63,2647,,0,hEmvHlIG,0,355,7.225,1,0
306,Q,47,-21,59,3,,20,63,370371,,0,U6dGOgx9,1,47,15.5,1,0
307,S,59,29,67,3,,70,-5,315088,42,0,lfDCZCN1,0,350,8.6625,1,0
308,S,97,59,53,3,,80,123,3101267,18,0,LEvou4fb,1,372,6.4958,2,0
309,S,42,67,27,3,,20,68,3101298,2,1,6M1ZaHUX,0,480,12.2875,2,1
310,S,45,73,68,2,,55,78,243880,34,0,9RtmR5Up,0,577,13,2,1
311,S,45,96,-5,3,,59,10,347077,3,2,QH3xozNG,4,262,31.3875,2,1
312,C,57,78,92,1,B80,44,62,PC 17569,58,0,nbCI6FVc,0,196,146.5208,2,1
313,Q,37,48,29,3,,70,27,370376,32,0,x4rfKNEH,0,891,7.75,1,0
314,S,86,27,43,3,,49,35,STON/O 2. 3101288,31,0,zSr9wqK7,0,745,7.925,2,1
315,S,71,60,3,3,,56,74,312991,,0,dElTAUgV,0,108,7.775,2,1
316,C,92,36,33,2,,68,42,SC/PARIS 2149,27,0,1qsfgAbH,1,867,13.8583,2,1
317,S,44,44,75,3,,82,31,CA 2144,11,2,TeT7Zzaz,5,60,46.9,2,0
318,S,53,95,48,2,,86,19,29751,23,0,zbkgL1Lf,0,659,13,2,0
319,S,84,56,40,1,B94,84,41,112059,40,0,cyOiyqjO,0,264,0,1,0
320,C,20,35,97,3,,44,23,2686,,0,Qh3O5kc6,0,569,7.2292,1,0
321,S,54,10,44,3,,75,81,349245,28,0,hGNJfhc3,0,101,7.8958,1,0
322,S,50,93,-13,2,,36,59,230434,28,0,eHeaHnHk,0,444,13,2,1
323,S,9,43,22,3,,97,44,65304,,0,lf3ORrlJ,1,491,19.9667,2,0
324,S,12,55,32,3,,81,73,349228,19,0,ZhcKA5Jc,0,688,10.1708,1,0
325,S,46,51,36,3,,96,73,345773,30,1,GgyH8RCR,1,800,24.15,2,0
326,S,104,52,38,3,,35,60,350050,20,0,fAdUqSEV,0,641,7.8542,1,0
327,S,47,32,27,3,,59,40,1601,28,0,36ppodbW,0,170,56.4958,1,0
328,S,31,32,61,3,,47,64,LINE,36,0,IaadZ80R,0,180,0,2,0
329,S,18,69,63,3,,15,81,A/5 2466,,0,VIBCyD1B,0,305,8.05,1,0
330,S,82,86,94,1,C23 C25 C27,74,87,19950,24,2,Fi7CFwBX,3,342,263,2,1
331,C,62,49,54,3,,76,18,2697,28.5,0,Y15wLas2,0,58,7.2292,2,0
332,C,4,88,14,3,,32,73,2666,24,3,OgEw5AeH,0,859,19.2583,1,1
333,S,97,31,31,2,,18,78,244310,42,0,Q2QVYbbo,0,150,13,2,0
334,S,48,53,15,1,D26,40,-2,35281,54,1,SmbnAH7M,0,125,77.2875,2,0
335,Q,59,66,87,3,,31,17,36864,25,0,vSWWfUFq,0,704,7.7417,1,0
336,S,41,78,22,3,,115,65,3101295,7,1,LYJXfVZh,4,51,39.6875,1,0
337,S,57,20,93,3,,38,39,349237,25,0,K2PLJLm2,1,354,17.8,1,0
338,S,47,36,55,3,E121,59,48,392096,27,1,hPGF5l2F,0,824,12.475,2,1
339,S,54,64,51,3,,59,53,STON/O2. 3101279,24,0,5YImmF6U,1,143,15.85,1,1
340,S,28,49,32,3,,48,63,323592,,0,4pbJ4vn6,0,471,7.25,1,0
341,S,56,7,53,2,,51,27,240929,28,0,XAkOoUYq,0,400,12.65,1,1
342,S,85,17,51,3,,85,89,358585,19,0,PhNPzNfa,0,576,14.5,1,0
343,S,70,54,68,3,,53,33,A/5 21172,22,0,EHjISDQV,0,321,7.25,2,0
344,C,17,49,55,3,,16,68,2649,,0,k2NjhJI5,0,20,7.225,1,1
345,S,54,53,48,3,,14,62,CA. 2343,,2,7P47Ul0v,8,793,69.55,2,0
346,S,28,53,88,1,E24,57,80,PC 17476,42,0,N9FMQN08,0,708,26.2875,2,1
347,S,27,37,49,2,,57,61,250643,50,0,oS40xnVI,0,724,13,2,0
348,S,80,67,56,2,,54,36,29106,3,1,YjqT7VbY,1,408,18.75,1,1
349,C,103,60,41,1,,42,1,PC 17757,,0,7EPLGgN2,0,558,227.525,2,0
350,S,28,49,107,3,,51,101,345764,18,0,dByWH4PZ,2,39,18,1,0
351,S,20,46,36,3,,43,33,350404,18,1,NdLGbVBT,1,176,7.8542,1,0
352,Q,48,19,49,1,C78,23,66,19928,44,0,u5dIbmez,2,246,90,2,0
353,S,15,40,47,1,D45,58,50,16988,,0,h1A2lNzu,0,741,30,1,1
354,S,51,72,24,1,,83,84,113796,,0,9TNwpu6e,0,603,42.4,2,0
355,Q,41,33,71,3,,66,58,371110,,0,9qmF3BNO,1,769,24.15,1,0
356,S,25,103,38,3,,55,59,347074,16,0,yPecYa7v,0,765,7.775,1,0
357,S,77,74,11,3,,26,50,Fa 265302,,0,0phoysue,0,155,7.3125,2,0
358,S,13,43,61,3,,54,62,349206,22,0,pdGTY2bA,0,288,7.8958,2,0
359,S,31,51,2,2,,50,88,29103,4,1,tlcGC2l9,1,751,23,1,1
360,S,43,65,53,2,,12,58,244373,,0,pWRTpESR,0,18,13,2,1
361,S,40,77,36,3,,89,55,C 17369,24,0,Rob8louj,0,128,7.1417,1,1
362,Q,46,84,53,2,,62,87,234818,30,0,7HeURMq4,0,323,12.35,1,1
363,C,30,69,28,3,,59,4,2650,29,2,5Arb2xYf,0,256,15.2458,2,1
364,S,53,58,26,3,,63,104,345781,24,0,OCpN298y,0,771,9.5,2,0
365,S,71,51,64,1,,68,29,36928,45,1,4AmQP6b1,1,857,164.8667,1,1
366,S,20,119,59,2,,49,56,234604,32,0,6vDplF5L,0,191,13,1,1
367,S,67,-1,28,3,,72,50,STON/O 2. 3101294,21,0,buZbG8Ed,0,116,7.925,2,0
368,C,85,26,51,1,B101,93,47,PC 17755,35,0,XogV46YO,0,738,512.3292,2,1
369,S,44,13,42,3,,34,50,CA. 2343,,2,w8QO29UE,8,181,69.55,2,0
370,Q,50,19,35,3,,71,43,367226,,0,1cSHfiHV,2,302,23.25,2,1
371,C,59,52,62,1,B51 B53 B55,60,48,PC 17755,36,1,olwVSAx9,0,680,512.3292,1,1
372,S,51,56,11,3,,79,44,3101295,41,5,XHg7zgOb,0,639,39.6875,1,0
373,S,34,80,42,3,,38,58,CA. 2314,23,0,gybqSCR4,0,650,7.55,1,1
374,S,58,60,67,3,,123,29,347080,34,1,tS9rCEOa,1,617,14.4,2,0
375,S,26,101,77,2,,59,39,248727,,0,NCLgxFnY,0,597,33,1,1
376,Q,82,55,18,3,,52,39,371110,,0,dhPjBND4,0,518,24.15,2,0
377,C,4,84,53,3,,53,58,2667,15,0,vBEXHJpB,0,876,7.225,1,1
378,S,18,-3,60,3,,37,73,S.C./A.4. 23567,,0,NgTxdXmr,0,46,8.05,1,0
379,S,80,24,67,3,,39,45,347087,18,0,PffiWzQq,0,808,7.775,1,0
380,S,65,92,62,3,,37,60,SOTON/OQ 392090,30,0,BHlBSG4x,0,158,8.05,1,0
381,S,28,38,65,2,,21,47,S.O.C. 14879,32,0,fiaLND2T,2,666,73.5,1,0
382,Q,29,35,46,3,,-18,7,382652,4,1,AKYuoUca,4,172,29.125,1,0
383,Q,28,36,10,3,,74,75,382652,2,1,5ayOgxO5,4,17,29.125,1,0
384,S,103,99,74,3,,62,47,SOTON/OQ 3101316,,0,gY1Zd1NJ,0,512,8.05,1,0
385,C,33,77,65,3,,58,64,2662,,0,UmyfBaz7,2,49,21.6792,1,0
386,S,53,76,21,1,D17,18,40,17466,48,0,fpyWFuZo,0,863,25.9292,2,1
387,Q,75,55,84,3,,32,61,335097,31,0,Px1MiXMs,0,750,7.75,1,0
388,S,80,71,24,1,D46,90,38,36967,47,0,1alyAOOE,0,516,34.0208,1,0
389,S,86,18,69,3,,62,54,A/5. 3336,26,0,H3ULy6jk,1,618,16.1,2,0
390,S,35,55,64,3,,53,58,CA 2144,9,2,sqOp4U36,5,481,46.9,1,0
391,S,63,115,58,3,,83,45,A/5. 10482,19,0,ri4yMnNw,0,284,8.05,1,1
392,S,68,59,22,3,,33,42,A./5. 3235,,0,EAGdC2n3,0,590,8.05,1,0
393,S,42,51,72,3,,48,48,PP 4348,22,0,17GmoKPe,0,226,9.35,1,0
394,C,-15,38,42,3,,85,45,2631,,0,lQrCdB4l,0,27,7.225,2,0
395,S,11,58,17,2,,58,56,248727,28,1,ECgVMxsA,0,849,33,2,0
396,S,8,24,29,2,,13,24,29106,24,3,bYNx3oQG,2,438,18.75,1,1
397,S,73,61,62,3,,42,15,315090,17,0,b1sZCYgP,0,845,8.6625,2,0
398,Q,39,91,-22,3,,-16,36,370365,,0,0QHMgfkl,1,365,15.5,2,0
399,S,69,8,62,3,,64,76,4133,,1,XSu6EdTG,3,230,25.4667,1,0
400,S,40,34,86,3,,60,22,A./5. 2152,21,0,898vjiAS,0,38,8.05,2,0
401,S,65,44,39,1,E17,15,35,113055,51,0,lw4Uoksn,0,858,26.55,2,1
402,S,84,22,66,3,,10,78,349909,3,1,ssU5oxpy,3,375,21.075,2,0
403,C,45,81,33,3,,8,47,2666,0.75,1,zX46XefY,2,470,19.2583,1,1
404,C,50,28,71,3,,84,69,2629,,0,rpaJW6Jf,0,860,7.2292,1,0
405,S,5,43,12,3,,2,49,363294,34,0,WdWdblWd,0,759,8.05,1,0
406,S,35,61,26,2,,50,82,231919,18,1,IKtgFL5Q,0,652,23,2,1
407,C,29,54,65,1,B4,89,78,PC 17610,44,0,snzFEVmX,0,195,27.7208,1,1
408,S,37,21,50,3,,43,84,358585,,0,BhAQcRku,0,761,14.5,2,0
409,S,65,42,79,3,,53,35,345777,,0,k7HItLdm,0,869,9.5,1,0
410,S,86,54,65,3,,23,53,4135,37,0,xhVNnRT4,0,504,9.5875,1,0
411,S,31,43,40,2,,46,16,28134,21,0,fuVmJTgQ,1,862,11.5,1,0
412,S,60,61,74,1,C46,93,39,19877,36,0,ctqcugV9,1,742,78.85,1,0
413,S,34,71,-5,3,,21,44,STON/O 2. 3101286,32,0,fvPwBQaz,0,580,7.925,1,1
414,S,41,37,59,3,,67,67,W./C. 6607,,2,bHhMqSzB,1,889,23.45,2,0
415,S,87,85,23,3,,45,44,347068,26,0,N9W30wdo,0,163,7.775,2,0
416,S,51,61,55,1,A23,25,76,27042,80,0,wg6bmRX2,0,631,30,2,1
417,S,50,57,65,3,,31,41,A.5. 11206,55.5,0,5NlFE2wa,0,153,8.05,2,0
418,S,48,34,46,2,,85,86,29750,60,1,iaWcjPY0,1,685,39,2,0
419,Q,52,62,40,3,,32,66,334912,,0,3rqDbvuL,0,630,7.7333,2,0
420,S,38,64,42,3,,38,53,349912,18,0,JjnBwx4o,0,676,7.775,2,0
421,C,-5,58,60,3,,35,51,2665,14.5,0,Y2H0pY18,1,112,14.4542,2,0
422,S,67,42,68,2,,36,43,SW/PP 751,19,0,HTvWhUgA,0,227,10.5,1,1
423,S,94,70,70,2,F4,47,78,230136,4,1,cxPnBh1z,2,619,39,2,1
424,S,50,55,60,3,,81,49,7540,33,0,1zRwtj92,0,104,8.6542,2,0
425,Q,58,28,37,3,,79,21,A/5. 13032,21,0,1zgHUGhk,0,422,7.7333,2,0
426,S,66,60,77,3,,13,0,345773,10,2,hNdRBnCB,0,420,24.15,1,0
427,S,33,75,51,2,,25,46,237565,47,0,kryjoFGW,0,587,15,2,0
428,S,58,50,67,3,,60,10,347082,2,2,NljF5IMX,4,120,31.275,1,0
429,S,40,71,30,2,,99,38,2926,29,0,FytktPhk,1,54,26,1,1
430,S,38,46,26,1,C2,70,50,113776,22,0,WsFjRe1T,1,152,66.6,1,1
431,S,39,41,57,3,,39,56,STON/O2. 3101279,28,0,TPHBugKQ,1,404,15.85,1,0
432,C,77,27,37,1,C47,9,79,11774,,0,JgNqWFRB,0,840,29.7,2,1
433,C,55,61,66,3,,67,26,2699,26,0,Ks67jBTu,0,208,18.7875,2,1
434,S,53,64,42,3,,34,102,345780,33,0,QEnSdrGx,0,753,9.5,2,0
435,S,63,49,43,2,E101,62,36,34218,27,0,EUkiwvzd,0,718,10.5,2,1
436,S,65,66,46,3,,45,56,347742,27,2,kYqtsQOM,0,9,11.1333,2,1
437,S,48,59,29,2,,73,38,12233,34,0,M6bpDBeD,0,723,13,2,0
438,C,76,7,85,3,,76,62,2677,,0,Ytr47a0b,0,37,7.2292,2,1
439,C,47,71,32,1,C111,32,19,113051,30,0,nsKFwWM6,0,453,27.75,2,0
440,S,55,25,38,3,,47,57,A/5. 3336,30,0,OCnMSxxa,1,254,16.1,2,0
441,Q,27,64,74,2,E101,45,12,226593,,0,cSJR3cuM,0,304,12.35,1,1
442,S,13,52,78,3,,25,11,312993,,0,TG1PXezP,0,668,7.775,1,0
443,S,26,60,97,1,C101,29,-2,11769,53,0,eaw3zP2f,2,572,51.4792,1,1
444,S,39,50,93,3,,32,37,STON/O 2. 3101292,32,0,325oYSFq,0,637,7.925,1,0
445,S,38,41,71,2,,40,77,250647,52,0,kZyzb3rF,0,715,13,2,0
446,S,10,56,14,1,E67,78,55,110413,52,1,grmgKoy5,1,263,79.65,2,0
447,S,48,39,53,3,,35,36,347082,39,5,t42Ra77G,1,611,31.275,2,0
448,S,117,76,85,1,C22 C26,31,91,113781,2,2,ow8J63iv,1,298,151.55,2,0
449,S,99,29,59,3,,21,44,STON/O 2. 3101269,44,0,s0SnWnCf,0,415,7.925,2,1
450,S,72,62,36,2,,15,56,S.O.P. 1166,51,0,vqx2R0zC,0,151,12.525,1,0
451,S,52,64,91,2,,-6,37,250655,39,0,krlhn13m,0,706,26,2,0
452,C,58,53,73,1,B82 B84,47,77,PC 17593,46,0,jxpQIY4S,0,790,79.2,2,0
453,C,81,46,121,1,C70,55,57,17421,17,2,P2OOndOI,0,551,110.8833,2,1
454,S,8,54,69,3,,57,80,A.5. 18509,30,0,bJjVACql,0,489,8.05,1,0
455,S,51,26,59,3,,52,62,W./C. 6608,9,2,bDgxG3Kw,2,148,34.375,1,0
456,S,69,58,36,3,,87,47,350043,27,0,5hYQCJNR,0,147,7.7958,2,1
457,S,50,66,81,3,,46,27,315097,21,0,lS6OdbL6,0,837,8.6625,2,0
458,S,63,44,68,3,,56,73,1601,,0,dyG3Nu5t,0,827,56.4958,1,0
459,S,59,107,58,3,,48,24,349248,26,0,q3FsmJxB,0,871,7.8958,2,0
460,S,53,58,70,3,,44,66,C.A. 37671,3,1,wFL9XEMf,1,349,15.9,1,1
461,S,68,78,68,2,,41,-12,234360,48,0,ZVfQQFqG,0,464,13,2,0
462,C,45,87,41,1,C32,43,33,PC 17760,36,0,EjRjeNaZ,0,326,135.6333,1,1
463,Q,63,60,85,3,,78,72,370365,,0,q203BQl4,1,187,15.5,1,1
464,S,42,21,56,2,E101,26,45,27267,32.5,0,LbDDZjNV,0,124,13,1,1
465,S,65,70,67,1,B77,69,51,110152,33,0,OyV9qE6j,0,760,86.5,2,1
466,C,103,73,63,2,,67,39,SC/Paris 2123,22,2,pw1ZMGAl,1,609,41.5792,2,1
467,Q,37,63,37,3,,55,-7,365222,19,0,ScJKiqWb,0,144,6.75,1,0
468,S,92,57,40,3,,2,45,347060,74,0,s5WwW73F,0,852,7.775,1,0
469,S,55,50,96,3,,34,41,4579,42,1,rrkUWLxC,0,198,8.4042,1,0
470,S,99,50,20,1,C125,95,80,PC 17582,40,0,Ab4JizSZ,0,610,153.4625,1,1
471,S,39,45,69,3,,51,21,C.A. 2673,35,1,Mac4tnom,1,280,20.25,1,1
472,S,43,34,32,3,,49,18,349236,24,0,Y0iFhoCn,0,294,8.85,1,0
473,S,107,34,64,3,,44,34,STON/O 2. 3101289,39,0,wWUsGNOL,0,401,7.925,1,1
474,C,70,54,6,2,,67,29,237736,32.5,0,pWbeBAJz,1,123,30.0708,1,0
475,S,34,35,23,2,F4,35,47,230136,1,1,Rsj9LQ7f,2,184,39,1,1
476,S,16,105,76,3,,56,58,3101264,34,0,p5jfsbr6,0,203,6.4958,2,0
477,S,49,42,68,1,C23 C25 C27,70,68,19950,64,4,s7iyMwx1,1,439,263,2,0
478,S,43,66,47,3,,23,101,347071,25,0,qcxjKvla,0,247,7.775,1,0
479,S,62,49,87,3,,84,91,343095,,0,LSOYamEL,0,416,8.05,1,0
480,S,35,73,58,3,,35,74,C.A. 2315,1,2,Tjexxko8,1,789,20.575,2,1
481,S,38,41,74,3,,42,30,347061,45,0,mHomDBhK,0,130,6.975,2,0
482,S,31,49,52,2,,62,45,C.A. 31921,31,1,z4aID6e4,1,638,26.25,2,0
483,S,71,87,20,3,,58,14,4137,21,0,ukCII27c,1,403,9.825,2,0
484,S,18,38,72,3,,46,37,349203,25,0,P2eq7S50,0,795,7.8958,1,0
485,S,71,29,53,1,B5,0,57,24160,15,1,h8mFdwpy,0,690,211.3375,2,1
486,S,9,50,70,3,,65,60,3474,26,0,ZMHByGRE,0,811,7.8875,1,0
487,S,51,75,46,2,,12,33,W/C 14208,30,0,vYwhNwFA,0,220,10.5,2,0
488,C,65,33,84,1,B35,78,29,PC 17477,24,0,XfS6vyRa,0,642,69.3,1,1
489,S,71,59,55,2,,55,-10,28206,35,0,H4K3U69l,0,813,10.5,2,0
490,S,53,53,84,2,,32,57,C.A. 24580,70,0,zQCV3c4p,0,673,10.5,1,0
491,S,26,76,85,1,B102,42,70,112058,,0,iBMQO4l4,0,816,0,1,0
492,S,43,65,9,3,,21,36,54636,21,0,zIcWsxDW,0,625,16.1,1,0
493,S,33,54,85,3,,23,99,392091,18,1,gw7m71fP,0,856,9.35,2,1
494,Q,35,49,41,3,,43,70,330935,,0,doHC6B47,0,681,8.1375,2,0
495,S,62,31,34,3,,15,90,CA 2144,1,2,h4tQcdyx,5,387,46.9,2,0
496,S,76,38,43,3,,44,55,CA. 2343,,2,y1tCivUp,8,864,69.55,1,0
497,S,80,54,53,3,,75,49,1601,26,0,o3ZhytIC,0,510,56.4958,2,1
498,S,36,47,35,3,,54,45,347083,25,0,AtlhMgRI,1,268,7.775,1,1
499,S,79,70,63,2,,34,51,239855,,0,LR59gPAp,0,733,0,2,0
500,S,72,68,49,3,,-10,83,345769,20,0,JhN3QHHp,0,442,9.5,1,0
501,C,56,44,74,1,D20,68,68,36947,54,0,ereSZcqp,1,497,78.2667,1,1
502,S,57,16,-2,3,,65,59,324669,22,0,MIFgoptI,0,113,8.05,1,0
503,S,43,5,72,2,,79,73,237442,59,0,tWD5sVkB,0,233,13.5,2,0
504,S,80,37,38,2,,69,23,29105,54,3,ot2RClFj,1,775,23,2,1
505,S,14,33,38,1,,77,67,113804,27,0,Z7yHhWQS,0,608,30.5,2,1
506,S,35,57,39,1,B71,71,46,F.C. 12750,31,0,3fQE7TAu,1,672,52,1,0
507,C,0,57,14,1,,49,16,PC 17760,22,0,fmSUZSgH,0,374,135.6333,2,0
508,S,43,17,46,1,B51 B53 B55,58,83,695,33,0,E0F0T68A,0,873,5,1,0
509,S,54,62,63,3,E121,55,56,392096,6,1,Kq58nGOi,0,752,12.475,2,1
510,S,70,68,43,3,,48,17,347077,5,2,7mwnxm2S,4,234,31.3875,1,1
511,S,6,72,62,1,A36,53,62,112050,39,0,2h6Cyf4Z,0,807,0,1,0
512,S,31,23,34,3,,-16,54,342826,24.5,0,trg6Bgda,0,677,8.05,2,0
513,S,92,37,57,2,,62,84,29011,54,0,TXlugBPl,0,318,14,2,0
514,S,45,23,37,3,,28,51,S.O./P.P. 751,,0,4zQ2GVyA,0,649,7.55,1,0
515,S,58,29,63,3,,63,45,349222,,0,9RFrM4HW,0,411,7.8958,1,0
516,C,31,62,47,3,,71,101,2685,30,0,VZUecykC,0,799,7.2292,2,0
517,Q,33,70,22,3,,57,40,330931,,0,DHjQhMIG,0,359,7.8792,2,1
518,C,9,9,32,1,,66,25,PC 17755,35,0,iUv3Hn8l,0,259,512.3292,2,1
519,S,78,17,12,1,D9,75,8,13502,21,0,E0EcWvsN,0,628,77.9583,2,1
520,C,52,68,53,1,B50,6,24,13214,32,0,PBkqxFai,0,633,30.5,2,1
521,S,94,55,24,3,,46,63,345778,16,0,hhYMWlLE,0,283,9.5,2,0
522,S,77,49,75,3,,-22,46,C 7077,22,0,f2bjpTlR,0,377,7.25,1,1
523,S,54,66,66,3,,44,40,349227,,0,E38TEC9c,0,385,7.8958,1,0
524,S,93,45,53,1,C93,35,27,19943,38,0,XuRBLmBX,1,225,90,2,1
525,S,59,56,84,3,,0,52,CA. 2343,,2,xuiNsXry,8,847,69.55,1,0
526,S,11,60,38,2,,36,80,236853,25,0,7ZG4YbGZ,1,729,26,1,0
527,S,-5,64,80,2,,86,68,C.A. 34651,33,2,JIju246g,1,473,27.75,1,1
528,S,52,24,17,3,,62,47,386525,,0,2taeEZLd,1,348,16.1,2,1
529,C,7,74,45,1,C65,81,48,PC 17758,18,0,JMjOzv09,1,506,108.9,1,0
530,S,27,12,75,3,,60,72,376564,,0,Holi2vTx,1,640,16.1,1,0
531,S,33,63,60,3,,63,108,349217,,0,gVsw9Tiq,0,879,7.8958,2,0
532,S,2,56,74,3,,72,26,3101295,2,1,pBo0Sfd4,4,825,39.6875,2,0
533,C,110,53,53,3,,86,33,2625,0.42,1,QGk05QXK,0,804,8.5167,1,1
534,S,30,93,69,2,,-11,24,31028,26,0,B7fEslws,0,620,10.5,2,0
535,S,19,58,42,3,,32,78,SOTON/O2 3101272,41,0,Fl1utniJ,0,762,7.125,1,0
536,C,44,73,50,1,D33,52,8,PC 17572,48,0,ERk60Rrc,1,646,76.7292,2,1
537,S,58,47,14,2,,24,30,220845,48,2,6mOne3xz,1,755,65,1,1
538,C,19,84,47,1,A16,50,38,11755,48,0,YPB97VBO,1,557,39.6,2,1
539,S,68,75,98,3,,37,84,347082,4,2,F7j3D7wo,4,851,31.275,2,0
540,S,59,21,56,1,E44,49,99,13507,39,0,IcqR9bQ7,1,578,55.9,1,1
541,S,34,81,51,3,,43,36,3101278,33,0,cl5R0Zvm,3,86,15.85,2,1
542,S,48,65,86,2,,34,65,W./C. 14263,29,0,Mv6r88pZ,0,243,10.5,1,0
543,C,55,52,92,1,C68,90,63,17421,49,1,io5cw2u8,1,699,110.8833,1,0
544,S,41,24,73,3,,40,-1,CA. 2343,,2,RWUaDFuZ,8,160,69.55,2,0
545,C,26,85,35,3,,-22,48,2700,,0,Q28jHTsP,0,525,7.2292,1,0
546,S,100,48,42,1,,51,62,113789,42,0,ybA6dMLC,1,36,52,2,0
547,S,45,19,-4,1,B22,53,16,WE/P 5735,36,2,p0Eb87pr,0,541,71,2,1
548,S,14,73,48,1,B19,52,92,111240,61,0,2ZG5nDuX,0,171,33.5,2,0
549,Q,8,50,40,3,,44,35,365226,18,0,M2JTIBpz,0,655,6.75,1,0
550,S,1,36,23,3,,50,82,3101265,18,0,umqzYoQ3,0,787,7.4958,2,1
551,S,99,8,8,2,,106,43,250649,0.67,1,aGtuYCjt,1,756,14.5,1,1
552,S,60,36,49,3,,77,54,1601,32,0,XUb00i2J,0,839,56.4958,2,1
553,S,60,34,93,3,,15,85,374910,,0,US8KbH0R,0,96,8.05,1,0
554,S,71,31,46,3,,63,39,SOTON/OQ 392082,,0,ZGhDTve9,0,564,8.05,1,0
555,C,75,7,46,3,,53,28,2665,,0,2pzytwdP,1,241,14.4542,1,0
556,S,64,54,67,3,,32,19,A/4. 20589,16,0,ngNiWBTS,0,575,8.05,2,0
557,S,55,31,70,1,B20,53,15,17474,31,0,fzLXw1in,1,691,57,1,1
558,S,41,69,34,1,E12,62,37,19952,48,0,SzH6Krgz,0,461,26.55,1,1
559,C,69,1,82,3,,26,90,2620,22,0,vDWA8Lrx,0,554,7.225,1,1
560,C,-12,95,28,3,,8,38,2687,13,0,HRtJXLRj,0,781,7.2292,2,1
561,S,39,44,50,3,,70,-5,3101278,32,0,b7FJ8vFd,1,207,15.85,2,0
562,S,46,60,50,3,,34,44,3101277,28,0,owYoF5Hp,2,393,7.925,1,0
563,S,45,44,67,2,,70,71,28403,46,0,f4mvo7Kw,0,398,26,1,0
564,S,1,52,82,3,,35,50,350042,28,0,AhR2HuGW,0,757,7.7958,1,0
565,S,43,29,61,2,,63,21,243847,42,0,MG1yGmxB,1,218,27,2,0
566,S,97,24,67,3,,45,47,373450,35,0,PzIcK2cz,0,5,8.05,2,0
567,S,34,-14,42,3,,43,46,347088,2,2,6jSwZXlZ,3,643,27.9,1,0
568,S,52,8,98,3,,54,31,349244,31,0,XmoxoeNk,0,798,8.6833,1,1
569,Q,11,-10,42,3,,59,37,367230,,0,YO5qz4ng,1,613,15.5,2,1
570,S,98,12,22,3,,26,122,349201,,0,EiR2ibwO,0,739,7.8958,2,0
571,S,16,44,4,2,,25,78,2908,19,0,j2lCGoR8,1,547,26,2,1
572,S,17,98,71,3,,53,38,315094,20,0,Y8un0bHa,0,726,8.6625,1,0
573,S,59,49,55,3,,65,23,CA 2144,14,2,c4MsXFf9,5,684,46.9,1,0
574,S,83,46,23,2,,41,88,231919,34,1,WZOvtXn0,0,99,23,2,1
575,Q,63,80,44,3,,57,25,36866,,0,8DQ747nd,0,728,7.7375,1,1
576,Q,35,73,28,3,,78,9,14312,,0,w4B5o1vC,0,574,7.75,2,1
577,S,93,53,28,3,,120,18,347064,51,0,k6GBJv8E,0,407,7.75,2,0
578,Q,25,96,26,3,,22,65,330909,,0,RZLvwo26,0,503,7.6292,2,0
579,Q,91,72,57,3,,87,12,14311,,0,KF5FYcwC,0,48,7.75,1,1
580,Q,15,48,53,3,,51,83,335677,,0,TNNmSSbM,0,33,7.75,1,1
581,S,67,35,33,3,,20,29,345770,28,0,AVNODnee,0,201,9.5,2,0
582,S,20,49,60,2,,15,67,C.A. 29178,25,0,8jdVUQsd,0,135,13,1,0
583,S,10,44,16,1,C23 C25 C27,43,46,19950,19,2,E6fJrOry,3,28,263,2,0
584,C,32,83,50,3,,25,30,349213,35,0,BzyTPQ3i,0,848,7.8958,2,0
585,S,36,30,51,1,C83,54,76,36973,35,0,mJSxlS33,1,231,83.475,1,1
586,S,13,22,115,3,,40,26,C.A. 37671,9,1,uMHVIyGJ,1,490,15.9,2,1
587,C,37,62,30,3,,15,35,2648,20,0,1ZXb2B3Y,0,379,4.0125,1,0
588,S,29,67,49,2,,28,62,237798,42,0,yKmT1wmW,0,289,13,1,1
589,S,50,26,75,2,,36,31,28228,30,0,NZzAFZnv,0,419,13,2,0
590,S,41,13,21,2,,78,80,239856,,0,ZxyygRSE,0,675,0,2,0
591,S,64,48,69,3,,29,23,350034,21,0,w6HWpbRx,0,392,7.7958,1,1
592,S,46,51,42,3,,54,102,A/5 3902,47,0,acs0eqME,0,593,7.25,1,0
